¿Ã∏ß,ø¨µµ,≈∏ºÆ,≈∏ºˆ,µÊ¡°,æ»≈∏,2≈∏,3≈∏,»®∑±,∑Á≈∏,≈∏¡°,µµ∑Á,µµΩ«,∫º≥›,ªÁ±∏,∞Ì4,ªÔ¡¯,∫¥ªÏ,»Ò≈∏,»Ò∫Ò,≈∏¿≤,√‚∑Á,¿Â≈∏,OPS
NC,2020,5833,5102,888,1483,258,28,187,2358,845,101,38,529,104,21,997,106,46,51,0.291,0.366,0.462,0.828
KT,2020,5762,5047,813,1432,238,21,163,2201,767,106,50,554,52,20,1097,104,64,45,0.284,0.358,0.436,0.794
µŒªÍ,2020,5773,5043,816,1476,263,20,125,2154,776,88,37,552,67,20,796,132,38,73,0.293,0.365,0.427,0.792
LG,2020,5681,4999,802,1384,253,29,149,2142,760,83,39,509,75,21,969,115,49,49,0.277,0.349,0.428,0.778
∑‘µ•,2020,5669,4958,750,1366,252,6,131,2023,711,90,31,569,55,18,875,148,39,48,0.276,0.354,0.408,0.762
≈∞øÚ,2020,5721,4945,759,1332,254,25,127,2017,713,113,26,608,73,16,1030,107,43,52,0.269,0.355,0.408,0.762
KIA,2020,5637,4933,724,1353,224,13,130,1993,692,47,25,534,69,10,957,113,63,38,0.274,0.351,0.404,0.755
ªÔº∫,2020,5574,4923,699,1317,211,12,129,1939,658,132,49,486,62,10,990,117,50,53,0.268,0.338,0.394,0.732
«—»≠,2020,5483,4862,551,1189,195,12,79,1645,523,51,36,462,89,9,1163,119,45,25,0.245,0.32,0.338,0.658
SK,2020,5502,4839,634,1212,177,17,143,1852,595,81,45,511,69,18,981,112,49,34,0.25,0.329,0.383,0.711
≈∞øÚ,2019,5658,4991,780,1405,252,37,112,2067,741,110,33,514,69,13,943,122,36,48,0.282,0.354,0.414,0.768
NC,2019,5631,4968,674,1383,249,26,128,2068,639,86,45,456,83,14,880,126,64,60,0.278,0.345,0.416,0.762
KT,2019,5579,4962,650,1374,186,20,103,1909,615,104,44,476,51,15,974,113,45,45,0.277,0.344,0.385,0.728
LG,2019,5536,4928,641,1316,233,15,94,1861,604,108,47,434,77,17,962,117,49,48,0.267,0.333,0.378,0.711
SK,2019,5542,4919,655,1290,218,14,117,1887,622,118,50,462,87,20,966,92,35,38,0.262,0.334,0.384,0.718
∑‘µ•,2019,5488,4919,578,1231,214,22,90,1759,545,62,31,430,64,12,1085,108,35,40,0.25,0.316,0.358,0.674
µŒªÍ,2019,5669,4912,736,1364,235,31,84,1913,692,102,38,562,73,16,799,117,39,83,0.278,0.355,0.389,0.745
«—»≠,2019,5482,4882,607,1249,223,16,88,1768,562,105,51,441,70,12,1090,112,44,45,0.256,0.324,0.362,0.686
KIA,2019,5505,4874,605,1286,248,19,76,1800,566,87,42,496,59,13,919,108,31,45,0.264,0.336,0.369,0.706
ªÔº∫,2019,5533,4866,622,1245,230,26,122,1893,598,107,42,478,78,15,976,107,58,53,0.256,0.329,0.389,0.718
µŒªÍ,2018,5870,5176,944,1601,284,30,191,2518,898,96,23,496,92,16,1016,112,43,63,0.309,0.376,0.486,0.862
≥ÿºæ,2018,5780,5141,825,1481,288,19,165,2302,787,101,33,472,85,25,1208,93,32,50,0.288,0.355,0.448,0.802
∑‘µ•,2018,5764,5130,821,1484,289,17,203,2416,792,68,32,471,81,22,1157,124,45,37,0.289,0.356,0.471,0.827
ªÔº∫,2018,5766,5109,776,1471,241,29,146,2208,732,116,52,468,87,14,1034,115,57,45,0.288,0.355,0.432,0.787
LG,2018,5665,5070,788,1487,299,12,148,2254,740,71,38,418,75,14,1001,125,51,51,0.293,0.353,0.445,0.797
KIA,2018,5744,5036,865,1487,258,22,170,2299,823,88,37,503,99,27,905,135,56,50,0.295,0.367,0.457,0.824
KT,2018,5605,5026,757,1382,264,13,206,2290,721,80,57,464,46,14,1109,103,43,26,0.275,0.34,0.456,0.796
SK,2018,5682,4992,829,1403,234,13,233,2362,791,108,39,483,119,6,1079,103,54,34,0.281,0.356,0.473,0.829
«—»≠,2018,5539,4972,729,1369,249,14,151,2099,668,118,64,420,88,17,1098,113,31,28,0.275,0.341,0.422,0.763
NC,2018,5488,4895,660,1280,233,18,143,1978,629,82,35,427,88,15,1081,115,35,43,0.261,0.329,0.404,0.733
KIA,2017,5841,5142,906,1554,292,29,170,2414,868,76,34,499,89,19,891,118,55,56,0.302,0.37,0.469,0.84
µŒªÍ,2017,5833,5102,849,1499,270,20,178,2343,812,69,33,541,95,19,960,120,48,47,0.294,0.369,0.459,0.828
≥ÿºæ,2017,5712,5098,789,1479,267,30,141,2229,748,70,34,468,83,15,1066,129,21,42,0.29,0.357,0.437,0.794
ªÔº∫,2017,5707,5095,757,1419,255,36,145,2181,703,98,37,429,70,17,983,97,58,55,0.279,0.34,0.428,0.768
NC,2017,5790,5079,786,1489,277,19,149,2251,739,93,32,471,130,19,979,119,62,48,0.293,0.365,0.443,0.808
«—»≠,2017,5665,5030,737,1445,261,16,150,2188,684,64,44,416,94,15,974,112,85,38,0.287,0.351,0.435,0.786
